Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Familiar	Condition	RT	Key	Error
3	69	C:\Hannah's FYP\White33_smi.jpg		2	eyes		2	222	863	2	0
3	70	C:\Hannah's FYP\White1_smi.jpg		2	forehead		1	211	356	2	1
3	71	C:\Hannah's FYP\White22_smi.jpg		2	nose		1	231	1855	2	1
3	72	C:\Hannah's FYP\White40_smi.jpg		2	eyes		2	222	418	2	0
3	73	C:\Hannah's FYP\Black5_smi.jpg		1	forehead		1	111	138	2	1
3	74	C:\Hannah's FYP\Black15_smi.jpg		1	eyes		1	121	174	2	1
3	75	C:\Hannah's FYP\Black4_smi.jpg		1	forehead		1	111	928	2	1
3	76	C:\Hannah's FYP\Black46_smi.jpg		1	nose		2	132	666	1	1
3	77	C:\Hannah's FYP\White47_smi.jpg		2	nose		2	232	728	2	0
3	78	C:\Hannah's FYP\Black39_smi.jpg		1	eyes		2	122	411	1	1
3	79	C:\Hannah's FYP\Black30_smi.jpg		1	forehead		2	112	219	2	0
3	80	C:\Hannah's FYP\White10_smi.jpg		2	eyes		1	221	523	2	1
3	81	C:\Hannah's FYP\White7_smi.jpg		2	forehead		1	211	142	1	0
3	82	C:\Hannah's FYP\Black31_smi.jpg		1	forehead		2	112	2323	2	0
3	83	C:\Hannah's FYP\Black37_smi.jpg		1	eyes		2	122	504	1	1
3	84	C:\Hannah's FYP\Black47_smi.jpg		1	nose		2	132	452	2	0
3	85	C:\Hannah's FYP\Black38_smi.jpg		1	eyes		2	122	795	2	0
3	86	C:\Hannah's FYP\White23_smi.jpg		2	nose		1	231	443	2	1
3	87	C:\Hannah's FYP\White35_smi.jpg		2	eyes		2	222	634	2	0
3	88	C:\Hannah's FYP\Black13_smi.jpg		1	eyes		1	121	49	2	1
3	89	C:\Hannah's FYP\Black32_smi.jpg		1	forehead		2	112	840	2	0
3	90	C:\Hannah's FYP\White17_smi.jpg		2	nose		1	231	142	2	1
3	91	C:\Hannah's FYP\Black35_smi.jpg		1	eyes		2	122	530	2	0
3	92	C:\Hannah's FYP\White2_smi.jpg		2	forehead		1	211	318	1	0
3	93	C:\Hannah's FYP\White27_smi.jpg		2	forehead		2	212	73	2	0
3	94	C:\Hannah's FYP\White32_smi.jpg		2	forehead		2	212	569	2	0
3	95	C:\Hannah's FYP\Black9_smi.jpg		1	eyes		1	121	162	2	1
3	96	C:\Hannah's FYP\White29_smi.jpg		2	forehead		2	212	573	2	0
